ID	2006 list	2008 list	2010 list	2012 list	2018 list	Book Title	Author	List	Original/Alt Title	Wilson score	nationality	Period	List Notes	Work Wikidata ID	Author Wikidata ID	GND Arealabel	GND Areacode	P495	P19	Geonames ID	Latitude	Longitude
1221	2006	2008	2010	2012	2018	The Corrections	Franzen, Jonathan	1) core list	NaN	788	American	2000s	NaN	Q335645	Q316607	United States	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XD-US	NaN	NaN	6252001	39.76	-98.5
1222	2006	2008	2010	2012	2018	Platform	Houellebecq, Michel	1) core list	NaN	604	NaN	2000s	NaN	Q1425106	Q103114	NaN	NaN	France	NaN	3017382	46.0	2.0
1223	NaN	2008	2010	2012	2018	Snow	Pamuk, Orhan	3) Added 2008	NaN	1020	NaN	2000s	NaN	Q1478870	Q241248	Turkey	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XB-TR	NaN	NaN	298795	39.0	35.0
1224	2006	2008	2010	2012	2018	Nowhere Man	Hemon, Aleksandar	1) core list	NaN	867	Yugoslavian	2000s	NaN	Q1249514	Q738114	NaN	NaN	United States of America	NaN	6252001	39.76	-98.5
1225	2006	NaN	NaN	NaN	NaN	Dead Air	Banks, Iain	2) Deleted 2008	NaN	1097	Scottish	2000s	NaN	Q5245078	Q312579	NaN	NaN	Scotland	NaN	2635167	54.75844	-2.69531
1226	2006	NaN	NaN	NaN	NaN	Youth	Coetzee, J.M.	2) Deleted 2008	NaN	620	S. African	2000s	NaN	Q8059138	Q43293	South Africa	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XC-ZA	NaN	NaN	953987	-29.0	24.0
1227	2006	NaN	NaN	NaN	NaN	Middlesex	Eugenides, Jeffrey	2) Deleted 2008	NaN	335	American	2000s	NaN	Q1609780	Q357108	United States	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XD-US	NaN	NaN	6252001	39.76	-98.5
1228	2006	NaN	NaN	NaN	NaN	Shroud	Banville, John	2) Deleted 2008	NaN	1006	Irish	2000s	NaN	Q7504295	Q313077	NaN	NaN	NaN	Wexford	NaN	NaN	NaN
1229	2006	NaN	NaN	NaN	NaN	In the Forest	O'Brien, Edna	2) Deleted 2008	NaN	1026	Irish	2000s	NaN	Q28224570	Q178225	NaN	NaN	NaN	Tuamgraney	NaN	NaN	NaN
1230	2006	NaN	NaN	NaN	NaN	That They May Face the Rising Sun	McGahern, John	2) Deleted 2008	NaN	493	Irish	2000s	NaN	Q123501462	Q1277641	NaN	NaN	NaN	Dublin	NaN	NaN	NaN
1231	2006	NaN	NaN	NaN	NaN	The Story of Lucy Gault	Trevor, William	2) Deleted 2008	NaN	736	Irish	2000s	NaN	Q4791	Q528826	NaN	NaN	United States of America	NaN	6252001	39.76	-98.5
1232	2006	2008	2010	2012	2018	Everything is Illuminated	Foer, Jonathan Safran	1) core list	NaN	389	American	2000s	NaN	Q923551	Q359548	United States	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XD-US	NaN	NaN	6252001	39.76	-98.5
1233	2006	NaN	NaN	NaN	NaN	The Double	Saramago, José	2) Deleted 2008	NaN	500	Portugese	2000s	NaN	Q1192973	Q37060	NaN	NaN	Portugal	NaN	2264397	39.6945	-8.13057
1234	2006	NaN	NaN	NaN	NaN	Fingersmith	Waters, Sarah	2) Deleted 2008	NaN	345	Wales	2000s	NaN	Q2756027	Q237555	Great Britain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-GB	NaN	NaN	2635167	54.75844	-2.69531
1235	2006	NaN	NaN	NaN	NaN	Family Matters	Mistry, Rohinton	2) Deleted 2008	NaN	343	Indian	2000s	NaN	Q5433188	Q732338	NaN	NaN	Canada	NaN	6251999	60.10867	-113.64258
1236	2006	NaN	NaN	NaN	NaN	London Orbital	Sinclair, Iain	2) Deleted 2008	NaN	1061	Wales	2000s	NaN	NaN	Q5980623	Great Britain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-GB	NaN	NaN	2635167	54.75844	-2.69531
1237	2006	NaN	NaN	NaN	NaN	Elizabeth Costello	Coetzee, J.M.	2) Deleted 2008	NaN	1110	S. African	2000s	NaN	Q2706700	Q43293	South Africa	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XC-ZA	NaN	NaN	953987	-29.0	24.0
1238	2006	2008	2010	NaN	NaN	Kafka on the Shore	Murakami, Haruki	6) Deleted 2012	NaN	135	Japanese	2000s	NaN	Q579744	Q134798	Japan	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XB-JP	NaN	NaN	1861060	35.68536	139.75309
